date,open,high,low,close
2021-12-21,3946.1599999999994,undefined,undefined,undefined
2021-12-20,3929.81,3978.309519422164,3758.087595038598,3938.0797588368173
2021-12-20,3924.3308637325736,undefined,undefined,undefined
2021-12-19,3957.2,4025.56216661481,3892.368144961025,3917.4649827498797
2021-12-19,3961.6640911321815,undefined,undefined,undefined
2021-12-18,3876.5087290289766,3995.8926765493857,3771.4223122659055,3958.29
2021-12-18,3874.684931710781,undefined,undefined,undefined
2021-12-17,3957.2800000000007,3994.774449406443,3707.9071904251846,3885.0519643702883
2021-12-17,3960.242129869217,undefined,undefined,undefined
2021-12-16,4021.8203006599797,4110.875684327143,3955.052623440623,3955.7279917198985
2021-12-16,4019.0869876941183,undefined,undefined,undefined
2021-12-15,3861.142296941727,4090.357601413055,3657.277443414354,4020.7096877681697
2021-12-15,3862.6779806281884,undefined,undefined,undefined
2021-12-14,3784.9258794006664,3880.524919123928,3687.1597334601743,3858.0898660342536
2021-12-14,3784.398888599914,undefined,undefined,undefined
2021-12-13,4132.331946465093,4141.683184906634,3675.086765083303,3783.425700097953
2021-12-13,4133.180592616346,undefined,undefined,undefined
2021-12-12,4088.933858075914,4175.555525310291,3989.816528264306,4132.078530644752
2021-12-11,3884.923779601527,4094.6499011087603,3836.4714056792627,4084.2717421924444
2021-12-11,3906.8077640151014,undefined,undefined,undefined
2021-12-10,4104.955036847229,4217.385622437907,3891.263020279025,3902.3400802423957
2021-12-10,4118.268124714654,undefined,undefined,undefined
2021-12-09,4469.777451197406,4480.081578596322,4079.7717768743028,4130.349482558946
2021-12-09,4446.160369817001,undefined,undefined,undefined
2021-12-08,4307.713044514378,4451.548778439924,4236.55050299992,4439.898471679019
2021-12-07,4365.21171217759,4426.699381457525,4264.092418777249,4306.569876776087
2021-12-06,4205.791293910909,4370.109370166601,3935.5450559196047,4359.988384524842
2021-12-06,4196.014863587487,undefined,undefined,undefined
2021-12-05,4129.425183019701,4248.427532231827,4046.873065331133,4200.31444745153
2021-12-05,4120.740103537305,undefined,undefined,undefined
2021-12-04,4209.927107015021,4238.685999191829,3663.1674121091496,4122.088845587745
2021-12-03,4509.911634406562,4645.71374877688,4096.325304981674,4217.418199386664
2021-12-03,4512.666403717624,undefined,undefined,undefined
2021-12-02,4586.677824513637,4631.314088989622,4437.933743551919,4508.250752701175
2021-12-01,4611.465074124818,4782.02611231841,4530.91220148786,4587.173176103061
2021-12-01,4634.497518331279,undefined,undefined,undefined
2021-11-30,4447.239125933215,4741.948261155777,4353.2332439143365,4637.568454204769
2021-11-29,4309.572989283458,4460.413900565269,4285.608632553822,4445.843137798969
2021-11-29,4297.097003928493,undefined,undefined,undefined
2021-11-28,4090.091254095144,4299.458400232202,3988.935615863572,4292.326892914464
2021-11-28,4093.771236297388,undefined,undefined,undefined
2021-11-27,4043.396244048088,4184.770298709371,4032.7503960074832,4078.1914400098585
2021-11-27,4031.7905322511047,undefined,undefined,undefined
2021-11-26,4523.540108999792,4548.422381813113,3930.0028452515103,4034.2815422471404
2021-11-26,4518.3821273925705,undefined,undefined,undefined
2021-11-25,4272.973574072318,4550.155271718681,4249.62363665651,4519.89999194657
2021-11-25,4274.412433103418,undefined,undefined,undefined
2021-11-24,4342.941624261094,4359.478416758873,4172.413231958888,4275.436640372959
2021-11-24,4341.6643033745,undefined,undefined,undefined
2021-11-23,4083.6499999999996,4388.346586088647,4068.4800000000005,4341.506008117064
2021-11-23,4089.1599999999994,undefined,undefined,undefined
2021-11-22,4265.87,4310.34,4028.88,4090.54
2021-11-21,4416.39,4420.89,4250.65,4272.57
2021-11-20,4303.6,4438.9,4214.11,4413.05
2021-11-19,4009.87,4314.26,3980.11,4303.418771136362
2021-11-19,4002.608294039627,undefined,undefined,undefined
2021-11-18,4289.441601812334,4342.64285370836,3960.4699999999993,3995.32
2021-11-18,4289.4,undefined,undefined,undefined
2021-11-17,4222.67,4298.49,4077.24,4288.917428927527
2021-11-17,4212.474101543331,undefined,undefined,undefined
2021-11-16,4545.67,4545.67,4132.12,4216.14
2021-11-16,4559.226888007753,undefined,undefined,undefined
2021-11-15,4626.850572643559,4769.21,4544.4644597124325,4572.643546472941
2021-11-15,4627.349570306753,undefined,undefined,undefined
2021-11-14,4644.711091524745,4691.375724663525,4517.5268059588625,4627.197020076022
2021-11-14,4646.889057215584,undefined,undefined,undefined
2021-11-13,4667.465909505719,4704.32846796744,4588.161139881461,4647.2
2021-11-13,4672.180160824782,undefined,undefined,undefined
2021-11-12,4721.87,4806.600366464015,4511.9809332000605,4675.31599910018
2021-11-12,4724.195888995844,undefined,undefined,undefined
2021-11-11,4632.486098048668,4779.071689618614,4580.8811308239,4723.849265151405
2021-11-11,4638.533610242913,undefined,undefined,undefined
2021-11-10,4734.091714960123,4864.476780010037,4476.186895141813,4637.962459568996
2021-11-10,4734.069479655316,undefined,undefined,undefined
2021-11-09,4805.99,4834.45,4715.483996193734,4736.295720305589
2021-11-09,4811.9,undefined,undefined,undefined
2021-11-08,4620.81,4823.31,4620.28,4811.5
2021-11-08,4617.02,undefined,undefined,undefined
2021-11-07,4511.98,4638.22,4507.87,4614.02
2021-11-07,4523.16,undefined,undefined,undefined
2021-11-06,4475.88,4528.92,4340.91,4520.71
2021-11-05,4538.27,4571.87,4451.5,4481.52
2021-11-05,4537.15,undefined,undefined,undefined
2021-11-04,4605.6,4609.75,4425.94,4539.33
2021-11-03,4598,4664.78,4465.06,4606.07
2021-11-02,4324.21,4601.65,4289.01,4586.39
2021-11-02,4325.548484031913,undefined,undefined,undefined
2021-11-01,4295.35,4377.057021011002,4166.283329212807,4326.88
2021-11-01,4290.16,undefined,undefined,undefined
2021-10-31,4328.81,4395.1,4176.37,4288.647863307195
2021-10-31,4325.869542155477,undefined,undefined,undefined
2021-10-30,4426.66,4427.491984588295,4251.859043408258,4319.030758213976
2021-10-30,4415.685772670747,undefined,undefined,undefined
2021-10-29,4287.945607447652,4460.505640780439,4271.599874791511,4415.427223930739
2021-10-29,4288.010548173824,undefined,undefined,undefined
2021-10-28,3923.7357100727463,4292.487326799081,3903.4155618532495,4288.391931811509
2021-10-28,3929.019486885468,undefined,undefined,undefined
2021-10-27,4131.247953517975,4299.427443040211,3928.282848223703,3933.186228098768
2021-10-27,4130.616707901937,undefined,undefined,undefined
2021-10-26,4220.817103616245,4290.609696321353,4102.073667350008,4128.741989241185
2021-10-26,4221.14030130145,undefined,undefined,undefined
2021-10-25,4082.2778371118034,4235.553580951636,4070.2747512419214,4218.040204379123
2021-10-25,4084.045263849643,undefined,undefined,undefined
2021-10-24,4168.50777826765,4182.763791527628,3966.0987667119875,4085.6345668960826
2021-10-23,3971.504248808216,4171.180506999527,3942.7760292433372,4168.657314438635
2021-10-23,3969.9084473583457,undefined,undefined,undefined
2021-10-22,4053.9646712070535,4167.070824874695,3904.1140323832333,3969.754724736195
2021-10-21,4154.42,4373.64,4030.222101815128,4054.040389963486
2021-10-21,4162.26,undefined,undefined,undefined
